Tournament ID,Year,Tournament name,Date,Location,Par,Yards,Purse
401353233,2021-22,The American Express,"January 20 - 23, 2022","La Quinta Country Club - La Quinta, CA",72,7060,
401353204,2021-22,Sony Open in Hawaii,"January 13 - 16, 2022","Waialae Country Club - Honolulu, HI",70,7044,7500000
401353203,2021-22,Sentry Tournament of Champions,"January 6 - 9, 2022","Kapalua Resort (Plantation Course) - Kapalua, HI",73,7596,8200000
401366873,2021-22,Hero World Challenge,"December 2 - 5, 2021","Albany - New Providence, Bahamas",72,7414,3500000
401353202,2021-22,The RSM Classic,"November 18 - 21, 2021","Sea Island Resort (Seaside Course) - Saint Simons Island, GA",70,7005,
401353201,2021-22,Houston Open,"November 11 - 14, 2021","Memorial Park Golf Course - Houston, TX",70,7412,7500000
401353200,2021-22,World Wide Technology Championship at Mayakoba,"November 4 - 7, 2021","El Camaleón Golf Course at Mayakoba - Quintana Roo, Mexico",71,7017,7200000
401353199,2021-22,Butterfield Bermuda Championship,"October 28 - 31, 2021","Port Royal Golf Course - Southampton Parish, Bermuda",71,6828,6500000
401353197,2021-22,ZOZO CHAMPIONSHIP,"October 21 - 24, 2021","Accordia Golf Narashino CC - Chiba, Japan",70,7041,9950000
401353196,2021-22,THE CJ CUP @ SUMMIT,"October 14 - 17, 2021","The Summit Club - Las Vegas, NV",72,7431,9750000
401353195,2021-22,Shriners Children's Open,"October 7 - 10, 2021","TPC Summerlin - Las Vegas, NV",71,7255,7000000
401353194,2021-22,Sanderson Farms Championship,"Sep 30 - October 3, 2021","Country Club of Jackson - Jackson, MS",72,7461,7000000
